"filename","DGPid","trueATE"
"low1133",60,1.6862483115362
"low1134",58,1
"low1135",57,0.5
"low1136",18,0.147047058600875
"low1137",19,0.120725663548369
"low1138",20,0.156759654487529
"low1139",31,2
"low114",57,0.5
"low1140",32,2.52739040759141
"low1141",30,10
"low1142",19,0.120725663548369
"low1143",29,4
"low1144",30,10
"low1145",60,1.6862483115362
"low1146",62,2
"low1147",29,4
"low1148",61,2
"low1149",35,0.122643947648726
"low115",59,-0.8
"low1150",34,0.0496296933010442
"low1151",58,1
"low1152",57,0.5
"low1153",57,0.5
"low1154",30,10
"low1155",31,2
"low1156",59,-0.8
"low1157",62,2
"low1158",62,2
"low1159",35,0.122643947648726
"low116",20,0.156759654487529
"low1160",62,2
"low1161",32,2.52739040759141
"low1162",61,2
"low1163",19,0.120725663548369
"low1164",61,2
"low1165",31,2
"low1166",59,-0.8
"low1167",64,3.625
"low1168",30,10
"low1169",30,10
"low117",59,-0.8
"low1170",31,2
"low1171",36,0.0940840672965854
"low1172",58,1
"low1173",58,1
"low1174",64,3.625
"low1175",32,2.52739040759141
"low1176",19,0.120725663548369
"low1177",62,2
"low1178",19,0.120725663548369
"low1179",32,2.52739040759141
"low118",18,0.147047058600875
"low1180",33,0.0995898753689496
"low1181",62,2
"low1182",31,2
"low1183",36,0.0940840672965854
"low1184",20,0.156759654487529
"low1185",63,-2
"low1186",36,0.0940840672965854
"low1187",64,3.625
"low1188",58,1
"low1189",31,2
"low119",18,0.147047058600875
"low1190",18,0.147047058600875
"low1191",34,0.0496296933010442
"low1192",17,0.106696525376334
"low1193",32,2.52739040759141
"low1194",36,0.0940840672965854
"low1195",31,2
"low1196",60,1.6862483115362
"low1197",63,-2
"low1198",35,0.122643947648726
"low1199",34,0.0496296933010442
"low12",63,-2
"low120",60,1.6862483115362
"low1200",32,2.52739040759141
"low1201",58,1
"low1202",29,4
"low1203",19,0.120725663548369
"low1204",63,-2
"low1205",19,0.120725663548369
"low1206",18,0.147047058600875
"low1207",35,0.122643947648726
"low1208",62,2
"low1209",29,4
"low121",36,0.0940840672965854
"low1210",61,2
"low1211",20,0.156759654487529
"low1212",18,0.147047058600875
"low1213",33,0.0995898753689496
"low1214",64,3.625
"low1215",34,0.0496296933010442
"low1216",57,0.5
"low1217",31,2
"low1218",60,1.6862483115362
"low1219",19,0.120725663548369
"low122",57,0.5
"low1220",29,4
"low1221",62,2
"low1222",19,0.120725663548369
"low1223",34,0.0496296933010442
"low1224",57,0.5
"low1225",62,2
"low1226",63,-2
"low1227",61,2
"low1228",29,4
"low1229",36,0.0940840672965854
"low123",18,0.147047058600875
"low1230",61,2
"low1231",35,0.122643947648726
"low1232",61,2
"low1233",57,0.5
"low1234",64,3.625
"low1235",64,3.625
"low1236",29,4
"low1237",33,0.0995898753689496
"low1238",19,0.120725663548369
"low1239",19,0.120725663548369
"low124",62,2
"low1240",31,2
"low1241",57,0.5
"low1242",31,2
"low1243",61,2
"low1244",34,0.0496296933010442
"low1245",20,0.156759654487529
"low1246",30,10
"low1247",60,1.6862483115362
"low1248",60,1.6862483115362
"low1249",19,0.120725663548369
"low125",29,4
"low1250",62,2
"low1251",32,2.52739040759141
"low1252",31,2
"low1253",33,0.0995898753689496
"low1254",63,-2
"low1255",34,0.0496296933010442
"low1256",18,0.147047058600875
"low1257",59,-0.8
"low1258",60,1.6862483115362
"low1259",60,1.6862483115362
"low126",31,2
"low1260",33,0.0995898753689496
"low1261",57,0.5
"low1262",59,-0.8
"low1263",30,10
"low1264",34,0.0496296933010442
"low1265",20,0.156759654487529
"low1266",60,1.6862483115362
"low1267",29,4
"low1268",30,10
"low1269",60,1.6862483115362
"low127",36,0.0940840672965854
"low1270",34,0.0496296933010442
"low1271",64,3.625
"low1272",63,-2
"low1273",29,4
"low1274",57,0.5
"low1275",29,4
"low1276",58,1
"low1277",29,4
"low1278",35,0.122643947648726
"low1279",61,2
"low128",57,0.5
"low1280",61,2
"low1281",35,0.122643947648726
"low1282",63,-2
"low1283",64,3.625
"low1284",19,0.120725663548369
"low1285",64,3.625
"low1286",19,0.120725663548369
"low1287",29,4
"low1288",30,10
"low1289",33,0.0995898753689496
"low129",33,0.0995898753689496
"low1290",31,2
"low1291",33,0.0995898753689496
"low1292",58,1
"low1293",33,0.0995898753689496
"low1294",63,-2
"low1295",59,-0.8
"low1296",58,1
"low1297",31,2
"low1298",20,0.156759654487529
"low1299",33,0.0995898753689496
"low13",20,0.156759654487529
"low130",64,3.625
"low1300",19,0.120725663548369
"low1301",32,2.52739040759141
"low1302",34,0.0496296933010442
"low1303",64,3.625
"low1304",60,1.6862483115362
"low1305",58,1
"low1306",57,0.5
"low1307",58,1
"low1308",62,2
"low1309",59,-0.8
"low131",63,-2
"low1310",29,4
"low1311",29,4
"low1312",31,2
"low1313",31,2
"low1314",33,0.0995898753689496
"low1315",57,0.5
"low1316",32,2.52739040759141
"low1317",64,3.625
"low1318",19,0.120725663548369
"low1319",30,10
"low132",62,2
"low1320",31,2
"low1321",29,4
"low1322",63,-2
"low1323",31,2
"low1324",61,2
"low1325",62,2
"low1326",33,0.0995898753689496
"low1327",17,0.106696525376334
"low1328",61,2
"low1329",60,1.6862483115362
"low133",59,-0.8
"low1330",60,1.6862483115362
"low1331",62,2
"low1332",19,0.120725663548369
"low1333",60,1.6862483115362
"low1334",18,0.147047058600875
"low1335",34,0.0496296933010442
"low1336",34,0.0496296933010442
"low1337",62,2
"low1338",62,2
"low1339",31,2
"low134",63,-2
"low1340",61,2
"low1341",60,1.6862483115362
"low1342",61,2
"low1343",30,10
"low1344",58,1
"low1345",17,0.106696525376334
"low1346",61,2
"low1347",20,0.156759654487529
"low1348",59,-0.8
"low1349",57,0.5
"low135",60,1.6862483115362
"low1350",18,0.147047058600875
"low1351",20,0.156759654487529
"low1352",57,0.5
"low1353",19,0.120725663548369
"low1354",31,2
"low1355",64,3.625
"low1356",34,0.0496296933010442
"low1357",35,0.122643947648726
"low1358",30,10
"low1359",34,0.0496296933010442
"low136",30,10
"low1360",64,3.625
"low1361",62,2
"low1362",33,0.0995898753689496
"low1363",62,2
"low1364",20,0.156759654487529
"low1365",17,0.106696525376334
"low1366",18,0.147047058600875
"low1367",62,2
"low1368",31,2
"low1369",35,0.122643947648726
"low137",18,0.147047058600875
"low1370",60,1.6862483115362
"low1371",30,10
"low1372",20,0.156759654487529
"low1373",32,2.52739040759141
"low1374",17,0.106696525376334
"low1375",61,2
"low1376",36,0.0940840672965854
"low1377",61,2
"low1378",63,-2
"low1379",20,0.156759654487529
"low138",33,0.0995898753689496
"low1380",57,0.5
"low1381",33,0.0995898753689496
"low1382",58,1
"low1383",29,4
"low1384",63,-2
"low1385",31,2
"low1386",19,0.120725663548369
"low1387",31,2
"low1388",33,0.0995898753689496
"low1389",58,1
"low139",17,0.106696525376334
"low1390",36,0.0940840672965854
"low1391",60,1.6862483115362
"low1392",33,0.0995898753689496
"low1393",19,0.120725663548369
"low1394",34,0.0496296933010442
"low1395",57,0.5
"low1396",36,0.0940840672965854
"low1397",60,1.6862483115362
"low1398",34,0.0496296933010442
"low1399",18,0.147047058600875
"low14",30,10
"low140",31,2
"low1400",18,0.147047058600875
"low1401",17,0.106696525376334
"low1402",18,0.147047058600875
"low1403",33,0.0995898753689496
"low1404",34,0.0496296933010442
"low1405",31,2
"low1406",64,3.625
"low1407",32,2.52739040759141
"low1408",58,1
"low1409",29,4
"low141",19,0.120725663548369
"low1410",30,10
"low1411",60,1.6862483115362
"low1412",20,0.156759654487529
"low1413",17,0.106696525376334
"low1414",17,0.106696525376334
"low1415",29,4
"low1416",62,2
"low1417",60,1.6862483115362
"low1418",36,0.0940840672965854
"low1419",57,0.5
"low142",64,3.625
"low1420",18,0.147047058600875
"low1421",32,2.52739040759141
"low1422",17,0.106696525376334
"low1423",32,2.52739040759141
"low1424",36,0.0940840672965854
"low1425",35,0.122643947648726
"low1426",60,1.6862483115362
"low1427",32,2.52739040759141
"low1428",19,0.120725663548369
"low1429",18,0.147047058600875
"low143",30,10
"low1430",32,2.52739040759141
"low1431",29,4
"low1432",30,10
"low1433",62,2
"low1434",58,1
"low1435",33,0.0995898753689496
"low1436",31,2
"low1437",34,0.0496296933010442
"low1438",36,0.0940840672965854
"low1439",32,2.52739040759141
"low144",62,2
"low1440",63,-2
"low1441",34,0.0496296933010442
"low1442",30,10
"low1443",64,3.625
"low1444",19,0.120725663548369
"low1445",57,0.5
"low1446",64,3.625
"low1447",62,2
"low1448",31,2
"low1449",61,2
"low145",29,4
"low1450",57,0.5
"low1451",58,1
"low1452",61,2
"low1453",59,-0.8
"low1454",63,-2
"low1455",36,0.0940840672965854
"low1456",60,1.6862483115362
"low1457",63,-2
"low1458",19,0.120725663548369
"low1459",32,2.52739040759141
"low146",29,4
"low1460",36,0.0940840672965854
"low1461",29,4
"low1462",64,3.625
"low1463",36,0.0940840672965854
"low1464",33,0.0995898753689496
"low1465",29,4
"low1466",18,0.147047058600875
"low1467",31,2
"low1468",19,0.120725663548369
"low1469",36,0.0940840672965854
"low147",61,2
"low1470",19,0.120725663548369
"low1471",17,0.106696525376334
"low1472",34,0.0496296933010442
"low1473",62,2
"low1474",33,0.0995898753689496
"low1475",18,0.147047058600875
"low1476",62,2
"low1477",59,-0.8
"low1478",34,0.0496296933010442
"low1479",31,2
"low148",32,2.52739040759141
"low1480",19,0.120725663548369
"low1481",18,0.147047058600875
"low1482",64,3.625
"low1483",18,0.147047058600875
"low1484",58,1
"low1485",57,0.5
"low1486",30,10
"low1487",64,3.625
"low1488",20,0.156759654487529
"low1489",20,0.156759654487529
"low149",18,0.147047058600875
"low1490",59,-0.8
"low1491",63,-2
"low1492",64,3.625
"low1493",34,0.0496296933010442
"low1494",57,0.5
"low1495",62,2
"low1496",20,0.156759654487529
"low1497",18,0.147047058600875
"low1498",59,-0.8
"low1499",19,0.120725663548369
"low15",58,1
"low150",58,1
"low1500",64,3.625
"low1501",58,1
"low1502",59,-0.8
"low1503",19,0.120725663548369
"low1504",63,-2
"low1505",33,0.0995898753689496
"low1506",20,0.156759654487529
"low1507",32,2.52739040759141
"low1508",35,0.122643947648726
"low1509",31,2
"low151",36,0.0940840672965854
"low1510",30,10
"low1511",36,0.0940840672965854
"low1512",62,2
"low1513",31,2
"low1514",18,0.147047058600875
"low1515",58,1
"low1516",30,10
"low1517",63,-2
"low1518",36,0.0940840672965854
"low1519",30,10
"low152",20,0.156759654487529
"low1520",32,2.52739040759141
"low1521",35,0.122643947648726
"low1522",18,0.147047058600875
"low1523",57,0.5
"low1524",64,3.625
"low1525",62,2
"low1526",63,-2
"low1527",60,1.6862483115362
"low1528",32,2.52739040759141
"low1529",35,0.122643947648726
"low153",35,0.122643947648726
"low1530",34,0.0496296933010442
"low1531",29,4
"low1532",61,2
"low1533",29,4
"low1534",30,10
"low1535",63,-2
"low1536",58,1
"low1537",36,0.0940840672965854
"low1538",31,2
"low1539",59,-0.8
"low154",62,2
"low1540",30,10
"low1541",63,-2
"low1542",59,-0.8
"low1543",59,-0.8
"low1544",59,-0.8
"low1545",17,0.106696525376334
"low1546",36,0.0940840672965854
"low1547",60,1.6862483115362
"low1548",19,0.120725663548369
"low1549",61,2
"low155",20,0.156759654487529
"low1550",17,0.106696525376334
"low1551",31,2
"low1552",59,-0.8
"low1553",57,0.5
"low1554",35,0.122643947648726
"low1555",63,-2
"low1556",61,2
"low1557",18,0.147047058600875
"low1558",31,2
"low1559",62,2
"low156",19,0.120725663548369
"low1560",60,1.6862483115362
"low1561",58,1
"low1562",36,0.0940840672965854
"low1563",33,0.0995898753689496
"low1564",60,1.6862483115362
"low1565",32,2.52739040759141
"low1566",20,0.156759654487529
"low1567",30,10
"low1568",36,0.0940840672965854
"low1569",17,0.106696525376334
"low157",30,10
"low1570",35,0.122643947648726
"low1571",18,0.147047058600875
"low1572",59,-0.8
"low1573",58,1
"low1574",32,2.52739040759141
"low1575",18,0.147047058600875
"low1576",17,0.106696525376334
"low1577",35,0.122643947648726
"low1578",18,0.147047058600875
"low1579",63,-2
"low158",18,0.147047058600875
"low1580",35,0.122643947648726
"low1581",32,2.52739040759141
"low1582",20,0.156759654487529
"low1583",29,4
"low1584",59,-0.8
"low1585",35,0.122643947648726
"low1586",58,1
"low1587",57,0.5
"low1588",29,4
"low1589",35,0.122643947648726
"low159",18,0.147047058600875
"low1590",29,4
"low1591",34,0.0496296933010442
"low1592",36,0.0940840672965854
"low1593",18,0.147047058600875
"low1594",30,10
"low1595",20,0.156759654487529
"low1596",36,0.0940840672965854
"low1597",32,2.52739040759141
"low1598",19,0.120725663548369
"low1599",18,0.147047058600875
"low16",20,0.156759654487529
"low160",30,10
"low1600",60,1.6862483115362
"low1601",19,0.120725663548369
"low1602",33,0.0995898753689496
"low1603",35,0.122643947648726
"low1604",36,0.0940840672965854
"low1605",17,0.106696525376334
"low1606",17,0.106696525376334
"low1607",17,0.106696525376334
"low1608",34,0.0496296933010442
"low1609",59,-0.8
"low161",29,4
"low1610",34,0.0496296933010442
"low1611",57,0.5
"low1612",31,2
"low1613",32,2.52739040759141
"low1614",29,4
"low1615",59,-0.8
"low1616",19,0.120725663548369
"low1617",34,0.0496296933010442
"low1618",62,2
"low1619",59,-0.8
"low162",35,0.122643947648726
"low1620",33,0.0995898753689496
"low1621",63,-2
"low1622",60,1.6862483115362
"low1623",35,0.122643947648726
"low1624",61,2
"low1625",17,0.106696525376334
"low1626",64,3.625
"low1627",62,2
"low1628",31,2
"low1629",33,0.0995898753689496
"low163",33,0.0995898753689496
"low1630",59,-0.8
"low1631",63,-2
"low1632",62,2
"low1633",58,1
"low1634",17,0.106696525376334
"low1635",58,1
"low1636",20,0.156759654487529
"low1637",57,0.5
"low1638",29,4
"low1639",59,-0.8
"low164",34,0.0496296933010442
"low1640",58,1
"low1641",59,-0.8
"low1642",36,0.0940840672965854
"low1643",29,4
"low1644",29,4
"low1645",19,0.120725663548369
"low1646",61,2
"low1647",18,0.147047058600875
"low1648",64,3.625
"low1649",60,1.6862483115362
"low165",34,0.0496296933010442
"low1650",63,-2
"low1651",64,3.625
"low1652",20,0.156759654487529
"low1653",60,1.6862483115362
"low1654",61,2
"low1655",36,0.0940840672965854
"low1656",30,10
"low1657",58,1
"low1658",33,0.0995898753689496
"low1659",32,2.52739040759141
"low166",34,0.0496296933010442
"low1660",17,0.106696525376334
"low1661",19,0.120725663548369
"low1662",60,1.6862483115362
"low1663",57,0.5
"low1664",19,0.120725663548369
"low1665",59,-0.8
"low1666",60,1.6862483115362
"low1667",35,0.122643947648726
"low1668",58,1
"low1669",33,0.0995898753689496
"low167",63,-2
"low1670",34,0.0496296933010442
"low1671",62,2
"low1672",62,2
"low1673",60,1.6862483115362
"low1674",34,0.0496296933010442
"low1675",36,0.0940840672965854
"low1676",61,2
"low1677",63,-2
"low1678",62,2
"low1679",64,3.625
"low168",18,0.147047058600875
"low1680",64,3.625
"low1681",17,0.106696525376334
"low1682",35,0.122643947648726
"low1683",19,0.120725663548369
"low1684",58,1
"low1685",60,1.6862483115362
"low1686",63,-2
"low1687",60,1.6862483115362
"low1688",59,-0.8
"low1689",59,-0.8
"low169",57,0.5
"low1690",33,0.0995898753689496
"low1691",60,1.6862483115362
"low1692",57,0.5
"low1693",30,10
"low1694",60,1.6862483115362
"low1695",64,3.625
"low1696",33,0.0995898753689496
"low1697",57,0.5
"low1698",17,0.106696525376334
"low1699",30,10
"low17",29,4
"low170",17,0.106696525376334
"low1700",34,0.0496296933010442
"low1701",62,2
"low1702",29,4
"low1703",34,0.0496296933010442
"low1704",57,0.5
"low1705",58,1
"low1706",62,2
"low1707",17,0.106696525376334
"low1708",63,-2
"low1709",64,3.625
"low171",19,0.120725663548369
"low1710",34,0.0496296933010442
"low1711",61,2
"low1712",30,10
"low1713",36,0.0940840672965854
"low1714",62,2
"low1715",29,4
"low1716",32,2.52739040759141
"low1717",18,0.147047058600875
"low1718",58,1
"low1719",31,2
"low172",62,2
"low1720",58,1
"low1721",63,-2
"low1722",57,0.5
"low1723",34,0.0496296933010442
"low1724",57,0.5
"low1725",31,2
"low1726",61,2
"low1727",31,2
"low1728",59,-0.8
"low1729",29,4
"low173",33,0.0995898753689496
"low1730",18,0.147047058600875
"low1731",62,2
"low1732",33,0.0995898753689496
"low1733",34,0.0496296933010442
"low1734",32,2.52739040759141
"low1735",59,-0.8
"low1736",33,0.0995898753689496
"low1737",61,2
"low1738",61,2
"low1739",57,0.5
"low174",64,3.625
"low1740",62,2
"low1741",36,0.0940840672965854
"low1742",19,0.120725663548369
"low1743",30,10
"low1744",60,1.6862483115362
"low1745",19,0.120725663548369
"low1746",58,1
"low1747",64,3.625
"low1748",30,10
"low1749",32,2.52739040759141
"low175",36,0.0940840672965854
"low1750",19,0.120725663548369
"low1751",57,0.5
"low1752",62,2
"low1753",35,0.122643947648726
"low1754",61,2
"low1755",30,10
"low1756",36,0.0940840672965854
"low1757",17,0.106696525376334
"low1758",35,0.122643947648726
"low1759",57,0.5
"low176",31,2
"low1760",33,0.0995898753689496
"low1761",19,0.120725663548369
"low1762",34,0.0496296933010442
"low1763",61,2
"low1764",20,0.156759654487529
"low1765",18,0.147047058600875
"low1766",58,1
"low1767",59,-0.8
"low1768",33,0.0995898753689496
"low1769",36,0.0940840672965854
"low177",63,-2
"low1770",29,4
"low1771",61,2
"low1772",57,0.5
"low1773",20,0.156759654487529
"low1774",62,2
"low1775",29,4
"low1776",35,0.122643947648726
"low1777",30,10
"low1778",30,10
"low1779",20,0.156759654487529
"low178",59,-0.8
"low1780",36,0.0940840672965854
"low1781",17,0.106696525376334
"low1782",58,1
"low1783",60,1.6862483115362
"low1784",32,2.52739040759141
"low1785",64,3.625
"low1786",61,2
"low1787",30,10
"low1788",29,4
"low1789",36,0.0940840672965854
"low179",17,0.106696525376334
"low1790",59,-0.8
"low1791",33,0.0995898753689496
"low1792",64,3.625
"low1793",18,0.147047058600875
"low1794",30,10
"low1795",58,1
"low1796",20,0.156759654487529
"low1797",30,10
"low1798",63,-2
"low1799",17,0.106696525376334
"low18",33,0.0995898753689496
"low180",61,2
"low1800",63,-2
"low1801",62,2
"low1802",32,2.52739040759141
"low1803",18,0.147047058600875
"low1804",20,0.156759654487529
"low1805",17,0.106696525376334
"low1806",19,0.120725663548369
"low1807",33,0.0995898753689496
"low1808",59,-0.8
"low1809",33,0.0995898753689496
"low181",33,0.0995898753689496
"low1810",29,4
"low1811",62,2
"low1812",32,2.52739040759141
"low1813",18,0.147047058600875
"low1814",17,0.106696525376334
"low1815",35,0.122643947648726
"low1816",36,0.0940840672965854
"low1817",32,2.52739040759141
"low1818",60,1.6862483115362
"low1819",18,0.147047058600875
"low182",59,-0.8
"low1820",62,2
"low1821",18,0.147047058600875
"low1822",30,10
"low1823",35,0.122643947648726
"low1824",18,0.147047058600875
"low1825",33,0.0995898753689496
"low1826",64,3.625
"low1827",64,3.625
"low1828",59,-0.8
"low1829",32,2.52739040759141
"low183",19,0.120725663548369
"low1830",20,0.156759654487529
"low1831",29,4
"low1832",29,4
"low1833",36,0.0940840672965854
"low1834",31,2
"low1835",34,0.0496296933010442
"low1836",17,0.106696525376334
"low1837",18,0.147047058600875
"low1838",18,0.147047058600875
"low1839",57,0.5
"low184",30,10
"low1840",60,1.6862483115362
"low1841",19,0.120725663548369
"low1842",57,0.5
"low1843",60,1.6862483115362
"low1844",17,0.106696525376334
"low1845",36,0.0940840672965854
"low1846",60,1.6862483115362
"low1847",58,1
"low1848",60,1.6862483115362
"low1849",18,0.147047058600875
"low185",31,2
"low1850",31,2
"low1851",30,10
"low1852",57,0.5
"low1853",60,1.6862483115362
"low1854",57,0.5
"low1855",29,4
"low1856",35,0.122643947648726
"low1857",63,-2
"low1858",30,10
"low1859",29,4
"low186",62,2
"low1860",63,-2
"low1861",33,0.0995898753689496
"low1862",17,0.106696525376334
"low1863",32,2.52739040759141
"low1864",33,0.0995898753689496
"low1865",19,0.120725663548369
"low1866",17,0.106696525376334
"low1867",30,10
"low1868",57,0.5
"low1869",20,0.156759654487529
"low187",58,1
"low1870",20,0.156759654487529
"low1871",64,3.625
"low1872",35,0.122643947648726
"low1873",64,3.625
"low1874",31,2
"low1875",17,0.106696525376334
"low1876",57,0.5
"low1877",20,0.156759654487529
"low1878",20,0.156759654487529
"low1879",19,0.120725663548369
"low188",31,2
"low1880",19,0.120725663548369
"low1881",35,0.122643947648726
"low1882",57,0.5
"low1883",33,0.0995898753689496
"low1884",18,0.147047058600875
"low1885",60,1.6862483115362
"low1886",33,0.0995898753689496
"low1887",20,0.156759654487529
"low1888",35,0.122643947648726
"low1889",30,10
"low189",60,1.6862483115362
"low1890",59,-0.8
"low1891",63,-2
"low1892",36,0.0940840672965854
"low1893",35,0.122643947648726
"low1894",31,2
"low1895",60,1.6862483115362
"low1896",31,2
"low1897",30,10
"low1898",61,2
"low1899",19,0.120725663548369
"low19",36,0.0940840672965854
"low190",18,0.147047058600875
"low1900",19,0.120725663548369
"low1901",32,2.52739040759141
"low1902",35,0.122643947648726
"low1903",36,0.0940840672965854
"low1904",19,0.120725663548369
"low1905",32,2.52739040759141
"low1906",62,2
"low1907",36,0.0940840672965854
"low1908",36,0.0940840672965854
"low1909",63,-2
"low191",31,2
"low1910",33,0.0995898753689496
"low1911",20,0.156759654487529
"low1912",33,0.0995898753689496
"low1913",19,0.120725663548369
"low1914",57,0.5
"low1915",61,2
"low1916",62,2
"low1917",31,2
"low1918",20,0.156759654487529
"low1919",29,4
"low192",60,1.6862483115362
"low1920",32,2.52739040759141
"low1921",31,2
"low1922",29,4
"low1923",31,2
"low1924",32,2.52739040759141
"low1925",33,0.0995898753689496
"low1926",35,0.122643947648726
"low1927",64,3.625
"low1928",36,0.0940840672965854
"low1929",29,4
"low193",30,10
"low1930",19,0.120725663548369
"low1931",33,0.0995898753689496
"low1932",35,0.122643947648726
"low1933",64,3.625
"low1934",58,1
"low1935",29,4
"low1936",59,-0.8
"low1937",62,2
"low1938",35,0.122643947648726
"low1939",17,0.106696525376334
"low194",61,2
"low1940",33,0.0995898753689496
"low1941",64,3.625
"low1942",35,0.122643947648726
"low1943",64,3.625
"low1944",19,0.120725663548369
"low1945",36,0.0940840672965854
"low1946",64,3.625
"low1947",60,1.6862483115362
"low1948",19,0.120725663548369
"low1949",18,0.147047058600875
"low195",62,2
"low1950",30,10
"low1951",35,0.122643947648726
"low1952",33,0.0995898753689496
"low1953",64,3.625
"low1954",17,0.106696525376334
"low1955",59,-0.8
"low1956",32,2.52739040759141
"low1957",19,0.120725663548369
"low1958",35,0.122643947648726
"low1959",34,0.0496296933010442
"low196",60,1.6862483115362
"low1960",29,4
"low1961",63,-2
"low1962",60,1.6862483115362
"low1963",19,0.120725663548369
"low1964",61,2
"low1965",18,0.147047058600875
"low1966",63,-2
"low1967",60,1.6862483115362
"low1968",64,3.625
"low1969",59,-0.8
"low197",33,0.0995898753689496
"low1970",33,0.0995898753689496
"low1971",18,0.147047058600875
"low1972",32,2.52739040759141
"low1973",19,0.120725663548369
"low1974",30,10
"low1975",31,2
"low1976",17,0.106696525376334
"low1977",34,0.0496296933010442
"low1978",33,0.0995898753689496
"low1979",33,0.0995898753689496
"low198",59,-0.8
"low1980",32,2.52739040759141
"low1981",58,1
"low1982",35,0.122643947648726
"low1983",59,-0.8
"low1984",36,0.0940840672965854
"low1985",19,0.120725663548369
"low1986",32,2.52739040759141
"low1987",29,4
"low1988",35,0.122643947648726
"low1989",58,1
"low199",36,0.0940840672965854
"low1990",60,1.6862483115362
"low1991",63,-2
"low1992",35,0.122643947648726
"low1993",20,0.156759654487529
"low1994",62,2
"low1995",18,0.147047058600875
"low1996",57,0.5
"low1997",36,0.0940840672965854
"low1998",17,0.106696525376334
"low1999",19,0.120725663548369
"low2",62,2
"low20",20,0.156759654487529
"low200",18,0.147047058600875
"low2000",20,0.156759654487529
"low2001",23,0.195290625734048
"low2002",40,6.96198490740555
"low2003",21,0.174969387969941
"low2004",22,0.1585275019832
"low2005",43,0.195466539541223
"low2006",44,0.08229957
"low2007",39,6.27029602260378
"low2008",21,0.174969387969941
